,title,price,source,product_link,thumbnail,rating,reviews
0,Veirdo Men's Oversized Graphic Printed T-shirt,₹399,Myntra,https://www.google.com/shopping/product/1740175286468512823?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQD_0BGEJmq1WjfZA2YzmUytD5C4aSlZPomBlvsS7T7ejYvpke_Al6VVCkfPDtm7p6fNuaVh8QEzw_kkH1y9Vx96U0zh0EAOnXnKZzpjZMaGNFZ6BbKp6pitQ,4.1,13.0
1,H&M Men's Loose Fit Printed T-shirt,₹799,H&M,https://www.google.com/shopping/product/990042079457272425?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSNjPG3VEmH72LJXuOkCeTHOCh6rkoH7brAGn6nR2SLONYtQtO1Tc8yV-EGZBdpqNtyaFTp2L98eZH0Puyi2DRhU6lZbG4Q20sZRE2QaZseixcK8v9sQZErsg,5.0,1.0
2,The Souled Store Men's Colorblock Polo Neck T-shirt,"₹1,499",The Souled Store,https://www.google.com/shopping/product/244851208467758679?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRrqCX9FkyiSvart1H9nK2QdyPx8hZctLGQ9GuP8OQAgE0k9l3QnoczzX5EZ2lHOI740K9Ln-kCY0S1x9tD-zDvDdIeNYkzSXjkxyOJRG4aQdVG_1CuMyJS,4.7,6.0
3,NOBERO Men's Oversized Graphic Printed T-Shirt,₹499,Myntra,https://www.google.com/shopping/product/13022722172722556579?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTWIC9H7INEwkeOwi3-AJAWdLPxtfImFJZ_C6gwD0CoiE8-_ykVJvnQ0mnaiCDbbp5ADY_FWt5Yy6oI8a12DRnlFBVC93iQY9hsK1NSvZdw,4.3,26.0
4,Men H&M Loose Fit Printed T-shirt,₹799,H&M,https://www.google.com/shopping/product/751000878686080440?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ5DZXMMPZaSsS50USca_PNxIFBiAsEtkfcpr91BhpFpo3XBQiJkqjPtU4D5nyrYgEtKWb2IpPR6fdVzUrteSdU7aW-Bp71QR9m_iaISe5LDE86ETVy5h9P,4.7,73.0
5,The Bear House Men's Oversized Printed Round Neck T-shirt,₹719,Myntra,https://www.google.com/shopping/product/11318706519339503124?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS6zvsDIU7wVOe15tvUZJkFXJSAiMcFJm80V2pGq8VNUSrIuz406O-JIjXYq6hXaRB5uDidNDtlM5JnztOI3VB5yX1GwwdFuW_wdvOS8-Q,4.6,21.0
6,The Souled Store Men's Official Deadpool Anti-Hero Oversized T-shirt,"₹1,299",Myntra,https://www.google.com/shopping/product/7490906300882313991?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQazXfLdqpg9gEU42tn9Nbl7k61dwrE-q_UQKVsxvvKMKjsHmu-DPwtsFG6mPLoGe0Vz0AgTt0-_F-7ZBxtj25i5qEdrD3PFXKQrI-Jsjjz61oC5MO-ndgO,3.0,2.0
7,Veirdo Men's Printed Round Neck T-shirt,₹379,Flipkart,https://www.google.com/shopping/product/13449831056863665521?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSrEaVwTmTFarjq2C5okrVR_9q3Ds_lWKgRet91fF_hynEq-lEqntY6JD4yC_lFD9xi7yTHLYarybmmOcHpRuMSeaJTnnGi1GlwdMWGxACqtcVEryC7uVWp,4.3,82.0
8,Paradise Men's Oversized Printed T-Shirt,₹649,Pronk,https://www.google.com/shopping/product/8667827242932423030?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSEs4tbI_GhpTfUw5FZF7r1KiZWxe-HEd_jxT_cN5BGmpwGJXJIOv3MuUAW4_6VEs9wsL5bQpvyoxo7iV0zZlv7Hlj_GaIPzl9HWWa3fKUmkaTNFDH-skay,4.8,107.0
9,The Souled Store Men's Official Spider-Man Oversized T-Shirt,"₹1,424",Amazon.in,https://www.google.com/shopping/product/124896758637690830?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR7FfG0iyda1L-6B5LjAKl84lPSnRH4a9bPKBhey-F7sHAjMmMHEiHnP4D6GwC2v6GPsbCyC3BbdrzKVp8fwIhUaXcHk9sb6NNKXc8mYobg82mNil1-1q9fJg,4.6,17.0
10,Mufti Men's Military Camouflage Crew Neck Green T-shirt,₹686,Mufti Jeans,https://www.google.com/shopping/product/17683050611764000095?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSDfrhRjJuQKLT_QrNXcWK5U0tz2b_rMlqmPHldTPAz-YwzauQgOLXXO_jaAs3M_4JCqKUuPd0sJEypo27fq2KHTVWbiTz8NEf9DdqHneh00DkzUqsOz1wlww,5.0,2.0
11,Urbano Fashion Men's Printed Full Sleeve Slim Fit T-Shirt,₹329,Myntra,https://www.google.com/shopping/product/10939784935941974262?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT00WarQjz6Rtdo8Ewt2uA-WQEucmNYYt-WTgnEiKuv62R4kIbPrGiWrrJcvFdKBTxNAUunG-CfpMQ8tXsmgfrsbCG_B5nBpxU858ZSQVG_kaAAXLd_3JkA,4.1,122.0
12,H&M Men's New Haven Loose Fit Printed T-shirt,₹799,H&M,https://www.google.com/shopping/product/4203248304493115954?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT9tXFzMZQNSoj7ynyJ2t1GT7lSe6AJ4fRK-ZRbndS8tFLmb5tQ3-yl3PpHD12sCBnBzbhOVeEhyqd5OqV7aNH03Px5-bI4r8NO5QcQ0-3IdpNApIW49zWc,4.7,73.0
13,Veirdo Men's Graphic Printed Round Neck T-Shirt,₹363,Amazon.in,https://www.google.com/shopping/product/14860432553491362102?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcShKyuQ9F2ytfrFw_vaL5IqRLO3FOD44KI6g5j7ctP9BBe4tLhMsODtiZFv-9YzlzPJ5X-XbI1s_PTU2Midza1551VxAhDCfkTAViEbP4C7xJaU_oa-NAFX,4.3,15.0
14,The Indian Garage Co. Men's Abstract Crew Neck T-shirt,₹249,Myntra,https://www.google.com/shopping/product/6630763228465676455?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcShC9CmnuazQKZnAu717mN3BQqKCsrgbKHmbQEZ28LMqSb-lia7djGHAAL9qzmGTertt5BY07Tsu_WsWRO6Rzt1MnKsBP9p0PZw_kwZAtABLCbUf1XTslOo,4.0,4.0
15,INTO THE AMGraphic Tees for Men S 4XL Premium Short Sleeve Colorful T-Shirts Trippy Space Designs,"₹3,735",desertcart.in,https://www.google.com/shopping/product/6254072988307209952?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTBh9jzcsMYvCVAAVrxSjEnNo1HzIrggLFuAqLuGE18pSZDhSmEoKNpwPH11DCfkc1aDZ5PS8GMyzZYWGCDOXOSzi8epPYdxdyT6Ncja6B5tpyZM1gygSIDxQ,5.0,1.0
